town	name	lon	phone	street	postcode	lat
Armadale	Armadale Group Practice	-3.6977804739621796	01501 730432	18 North Street	EH48 3QB	 55.89964591116718
Blackburn	Ashgrove Group Practice	-3.6188216857571636	08444 770 954	Ashgrove	EH47 7LL	 55.874682318584
Edinburgh	Blackhall Medical Centre	-3.2552496092686116	0131 332 7696	51 Hillhouse Road	EH4 3TH	 55.96003154542485
Edinburgh	Boroughloch Medical Centre	-3.1929679723490585	0131 229 7529	1 Meadow Place	EH9 1JZ	 55.939891226213035
Edinburgh	Braids Medical Practice	-3.2086322940784187	0131 445 5999	6 Camus Avenue	EH10 6QT	 55.906613934014956
Stoneyburn	Breich Valley Medical Practice	-3.636297209037299	01501 762515	Sunnyside	EH47 8BZ	 55.845476144812565
Fauldhouse	Breich Valley Medical Practice	-3.7045676276940016	01501 770125	Blackfaulds Place	EH47 9AS	 55.8271404861184
Edinburgh	Brunton Place Surgery	-3.172841310314938	0131 557 5545	9 Brunton Place	EH7 5EG	 55.95791372410553
Edinburgh	Bruntsfield Medical Practice	-3.2056649029670328	0131 228 6081	11 Forbes Road	EH10 4EY	 55.93575063236581
Livingston	Carmondean Medical Group	-3.5462864008432606	08444 773155	Carmondean Centre	EH54 8PY	 55.90226177280547
Edinburgh	Challenging Behaviour Practice	-3.1929679723490585	0131 537 8419	1 Meadow Place	EH9 1JZ	 55.939891226213035
Edinburgh	Colinton Surgery	-3.2513111318331287	0131 441 4555	296B Colinton Road	EH13 0LB	 55.908955572315435
Edinburgh	Craiglockhart Medical Group	-3.220442606601808	0131 445 1073	Oxgangs Path	EH13 9LX	 55.904691142675226
Edinburgh	Craiglockhart Medical Group	-3.2332986897559888	0131 455 8494	161 Colinton Road	EH14 1BE	 55.92466619300463
Edinburgh	Craigmillar Medical Group	-3.1346030953246933	0131 536 9500	106 Niddrie Mains Road	EH16 4DT	 55.93271412368474
Edinburgh	Cramond Medical Practice	-3.2981703098494166	0131-336 5432	2 Cramond Glebe Road	EH4 6NS	 55.97731758459173
Edinburgh	Crewe Medical Centre	-3.2367998971416245	0131 552 5544	135 Boswall Parkway	EH5 2LY	 55.97527958287543
Bonnyrigg	Dalhousie Medical Practice	-3.1063399971220136	0131 537 9844	109-111 High Street	EH19 2ET	 55.87850393827687
Dalkeith	Dalkeith Medical Practice	-3.065916482209563	0131 561 5500	24 -26 St Andrew Street	EH22 1AP	 55.89447910551557
Edinburgh	Dalkeith Road Medical Practice	-3.1663494491326754	0131 667 1289	145 Dalkeith Road	EH16 5HQ	 55.934870986930974
Danderhall	Danderhall Medical Practice	-3.105348781537637	0131-654 1079	85 Newton Church Road	EH22 1LX	 55.9128143982728
Edinburgh	Davidson's Mains Medical Centre	-3.271904092376099	0131 336 2291	Davidson's Mains	EH4 5BP	 55.963734028174386
Livingston	Deans and Eliburn Medical Practice	-3.5462864008432606	08444 773144	Carmondean Centre	EH54 8PY	 55.90226177280547
Livingston	Dedridge Medical Group	-3.5070236826143937	01506 414586	Nigel Rise	EH54 6QQ	 55.87984055068477
Ratho	Dr A Pandolfi	-3.37650571806899	0131 333 1062	Baird Road	EH28 8RA	 55.92292443749924
Blackridge	Dr Alan J Grant	-3.757564803731785	01501 751238	Fleming Place	EH48 3SS	 55.885595396445304
Haddington	Dr Alexander and Partners	-2.775328375645964	01620 823183	Newton Port Surgery	EH41 3NF	 55.95696674693256
Edinburgh	Dr Anne Stevenson and Partners	-3.199909349229884	0131 552 7676	Bangholm Loan	EH5 3AH	 55.972777493135894
Dunbar	Dr D A Cassells & Partners	-2.511352560403709	01368 863226	Queens Road	EH42 1EE	 55.999616923803394
Livingston	Dr F Shah	-3.5462864008432606	0844 477 3166	Carmondean Centre	EH54 8PY	 55.90226177280547
Edinburgh	Dr Gray and Partners	-3.182463438056096	0131 556 8196	26 Huntingdon Place	EH7 4AT	 55.96088618225748
Broxburn	Dr Gunn and Partners	-3.482571856175669	01506 771771	189a West Main Street	EH52 5LH	 55.9329271361198
Edinburgh	Dr Guy Johnson and Dr Helga Rhein	-3.284778984947448	0131 537 7030	Calder Road	EH11 4AU	 55.92387040597118
Edinburgh	Dr L Taylor and Partners	-3.10958375717413	0131 669 8406	265 Portobello High Street	EH15 2AW	 55.951840527508416
Edinburgh	Dr L Taylor and Partners	-3.1648256366240046	0131 666 5160	4 Nether Liberton Lane	EH16 5TY	 55.92517095082556
Edinburgh	Dr Lang and Partners	-3.284778984947448	0131 537 7040	Calder Road	EH11 4AU	 55.92387040597118
Bo`ness	Dr Mark  Gilmour and Partners	-3.6123088540434747	01506 822466	The Health Centre	EH51 0DQ	 56.01210954603311
Edinburgh	Dr Martin  Tolley and Partners	-3.182463438056096	0131 556 2642	26 Huntingdon Place	EH7 4AT	 55.96088618225748
Edinburgh	Dr McIntosh and Partners	-3.207205234721571	0131 225 9191	1 India Place	EH3 6EH	 55.95696182968517
Edinburgh	Dr Nigel Ostrowski and Partners	-3.199909349229884	0131 552 6363	Bangholm Loan	EH5 3AH	 55.972777493135894
Edinburgh	Dr R A M Watson and Partners	-3.284778984947448	0131 537 7060	Calder Road	EH11 4AU	 55.92387040597118
Haddington	Dr R WD Langlands and Partners	-2.775328375645964	01620 825051	Newton Port Surgery	EH41 3NF	 55.95696674693256
Edinburgh	Dr Roderick J Scott and Partners	-3.171943198157723	0131 554 6471	60 Leith Walk	EH6 5HB	 55.96954181740128
Edinburgh	Dr Roderick J Scott and Partners	-3.171227471362299	0131 554 6471	26 Leith Walk	EH6 5AA	 55.970249566860836
Edinburgh	Dr S H Trotter and Partners	-3.1628001921797413	0131 554 1036	4 Hermitage Place	EH6 8BW	 55.9692330025219
Prestonpans	Dr Scott and Partners	-2.974311731229809	01875 810736	Preston Road	EH32 9QS	 55.95645295844462
Loanhead	Dr Stanley A Moonsawmy	-3.153474583894291	0131 440 0593	110 Mayburn Avenue	EH20 9HB	 55.88033593840168
Dunbar	Dr T R Badger and Partners	-2.511352560403709	01368 861435	Queens Road	EH42 1EE	 55.999616923803394
Fauldhouse	Dr V Ritchie and Dr I A Jones	-3.7045676276940016	01501 770282	Blackfaulds Place	EH47 9AS	 55.8271404861184
Edinburgh	Drs Ayles, Rigg and McCulloch	-3.2070729770451782	0131 447 6277	5/6 Hermitage Terrace	EH10 4RP	 55.92594145883404
Edinburgh	Drs Donaldson, Morris and Larkin	-3.2070729770451782	0131 447 6277	5/6 Hermitage Terrace	EH10 4RP	 55.92594145883404
Dunbar	Drs Horn, Bagley and Lavelle	-2.511352560403709	01368 861401	Queens Road	EH42 1EE	 55.999616923803394
Edinburgh	Durham Road Medical Group	-3.118623489728922	0131 669 1153	25 Durham Road	EH15 1NY	 55.94761604344157
Edinburgh	Durham Road Medical Group	-3.1346030953246933	0131 536 9595	106 Niddrie Mains Road	EH16 4DT	 55.93271412368474
East Calder	East Calder Medical Practice	-3.4611103540593295	01506 882882	147 Main Street	EH53 0EW	 55.89568995886512
East Linton	East Linton Surgery	-2.6551608167445813	01620 860204	Station Road	EH40 3DP	 55.984496328325875
Penicuik	Eastfield Medical Practice	-3.2159937317994127	01968 675576	Eastfield Farm Road	EH26 8EZ	 55.8366160598421
Edinburgh	Edinburgh Access Practice	-3.1862886643667325	0131 240 2810	20 The Cowgate	EH1 3JX	 55.95762325901651
Edinburgh	Edinburgh Access Practice	-3.186417307567721	0131 240 2810	17 & 23 Leith Street	EH1 3AT	 55.95397348847751
Musselburgh	Eskbridge Medical Centre	-3.056115344637244	0131 665 6821	8a Bridge Street	EH21 6AG	 55.94342280875443
Broxburn	Ferguson Medical Practice	-3.482571856175669	01506 771700	189a West Main Street	EH52 5LH	 55.9329271361198
Edinburgh	Ferniehill Surgery	-3.1324706972351093	0131 664 2166	8 Ferniehill Road	EH17 7AB	 55.90735581429919
Edinburgh	Gilmore Medical Practice	-3.2050423273666473	0131 536 9800	Ponton Street	EH3 9QQ	 55.94406032090254
Edinburgh	Gracemount Medical Practice	-3.155389347040202	0131 664 2377	24 Gracemount Drive	EH16 6RN	 55.90388979471795
Edinburgh	Grange Medical Group	-3.1919098887754602	0131 447 1646	1 Beaufort Road	EH9 1AG	 55.935156560366046
Gullane	Gullane Medical Practice	-2.824370842095328	01620 842171	Broadgait Green	EH31 2DW	 56.03731671314453
Livingston	Howden Health Centre	-3.5214587324735267	01506 423800	Howden Road West	EH54 6TP	 55.892865013077405
Edinburgh	Inchpark Surgery	-3.1581946810340593	0131 666 2121	10 Marmion Crescent	EH16 5QU	 55.92126142166043
Edinburgh	Inverleith Medical Practice	-3.206313087634867	0131 552 3369	43 Inverleith Row	EH3 5PY	 55.96947983817489
Bo`ness	Kinglass Medical Practice	-3.597886841206214	01506 822556	Gauze Road	EH51 9QB	 56.011344630797076
Bathgate	Kingsgate Medical Practice	-3.64562516036448	01506 653134	Whitburn Road	EH48 2SS	 55.897603946453664
Kirkliston	Kirkliston Medical Practice	-3.403881772601592	0131 333 3215	50 The Glebe	EH29 9AS	 55.95542642094145
Edinburgh	Ladywell Medical Centre (East)	-3.2867013351660628	0131 334 5000	26 Featherhall Avenue	EH12 7UN	 55.94082620083284
Edinburgh	Ladywell Medical Centre (West)	-3.2891668958920315	0131 334 3602	Ladywell Road	EH12 7TB	 55.94033311993199
Edinburgh	Leith Mount Surgery	-3.181855481511555	0131 561 1900	2 Lindsay Street	EH6 4EG	 55.97878414968057
Edinburgh	Leven Medical Practice	-3.2050423273666473	0131 536 9700	Ponton Street	EH3 9QQ	 55.94406032090254
Edinburgh	Liberton Medical Group	-3.161474513503759	0131 664 3050	65 Liberton Gardens	EH16 6JT	 55.90998835367514
Linlithgow	Linlithgow Family Practice	-3.6062481925497236	01506 670036	288 High Street	EH49 7ER	 55.97624031866847
Linlithgow	Linlithgow Group Medical Practice	-3.6062481925497236	01506 670027	288 High Street	EH49 7ER	 55.97624031866847
Loanhead	Loanhead Medical Practice Sutherland House	-3.157032983343936	0131 440 0149	209 Mayburn Avenue	EH20 9ER	 55.88118323291567
Edinburgh	Mackenzie Medical Centre	-3.1826974615229133	0131 667 2955	20 West Richmond Street	EH8 9DX	 55.94544507537299
Edinburgh	Marchmont Medical Practice	-3.1946003932860263	0131 229 6314	10 Warrender Park Terrace	EH9 1JA	 55.93934520220292
Edinburgh	Meadows Medical Practice	-3.199442276382057	0131 229 7709	9 Brougham Place	EH3 9HW	 55.94265913796061
Edinburgh	Milton Surgery	-3.1155023821249763	0131 549 7300	132 Mountcastle Drive South	EH15 3LL	 55.940437191531615
Edinburgh	Morningside Medical Practice	-3.2101827791051445	0131 452 8406	2 Morningside Place	EH10 5ER	 55.93019755524697
Edinburgh	Muirhouse Medical Group	-3.2501486271932922	0131 537 4343	1 Muirhouse Avenue	EH4 4PL	 55.970265210635695
Livingston	Murieston Medical Practice	-3.506153329741905	01506 461464	Murieston South	EH54 9JZ	 55.870163128917596
Edinburgh	Murrayfield Medical Centre	-3.254860977546867	0131 337 2166	35 Saughton Crescent	EH12 5SS	 55.94306875771792
Edinburgh	Murrayfield Medical Practice	-3.2445652714372573	0131-337 6151	13b Riversdale Crescent	EH12 5QX	 55.94359555522081
Mayfield	Newbattle Medical Practice	-3.04796530230313	0131 663 1051	Blackcot	EH22 4AA	 55.86751199438641
Gorebridge	Newbyres Medical Group	-3.047613563842631	01875 820405	15 Hunterfield Road	EH23 4TP	 55.843161529138435
Edinburgh	Newington Surgery	-3.177566487530244	0131 662 4400	14 East Preston Street	EH8 9QA	 55.939428302445634
Bathgate	Newland Medical Practice	-3.64562516036448	01506 655155	Whitburn Road	EH48 2SS	 55.897603946453664
North Berwick	North Berwick Group Practice	-2.715317062097307	01620 892169	54 St Baldred`s Road	EH39 4PU	 56.05553767194819
Ormiston	Ormiston Medical Practice	-2.9460156739559955	01875 610248	Sprinty Drive	EH35 5LP	 55.91146332053116
Edinburgh	Parkgrove and East Craigs Medical Centre	-3.3028303534090044	0131 339 6670	East Craigs	EH12 8XP	 55.951449723067185
Edinburgh	Parkgrove and East Craigs Medical Centre	-3.3028303534090044	0131 339 6670	East Craigs	EH12 8XP	 55.951449723067185
Edinburgh	Parkgrove and East Craigs Medical Centre	-3.28659313413303	0131 312 6600	22B Parkgrove Terrace	EH4 7NX	 55.95929493108919
Edinburgh	Parkgrove and East Craigs Medical Centre	-3.28659313413303	0131 312 6600	22B Parkgrove Terrace	EH4 7NX	 55.95929493108919
Pathhead	Pathhead Medical Practice	-2.960470309249987	01875 320302	210 Main Street	EH37 5PP	 55.862537416942025
Penicuik	Penicuik Medical Practice	-3.219851287348586	01968 672612	37 Imrie Place	EH26 8LF	 55.8282291852623
Edinburgh	Polwarth Surgery	-3.217441545516311	0131 229 5914	72 Polwarth Gardens	EH11 1LL	 55.9365514546538
Edinburgh	Portobello Medical Practice	-3.10958375717413	0131 669 8406	265 Portobello High Street	EH15 2AW	 55.951840527508416
Edinburgh	Restalrig Park Medical Centre	-3.155277606778297	0131 554 2141	40 Alemoor Crescent	EH7 6UJ	 55.96468468765331
Edinburgh	Riccarton General Practice	-3.3192935792406226	0131 451 3010	Heriot-Watt University Medical Centre	EH14 4AS	 55.909459271960664
Edinburgh	Rose Garden Medical Centre	-3.175466382681637	0131 554 1274	Leith	EH6 6TL	 55.974756383237924
Roslin	Roslin Medical Practice	-3.17428393992198	0131 440 2043	122 Penicuik Road	EH25 9NT	 55.85682785679186
Bathgate	Simpson Medical Group	-3.64562516036448	01506 654444	Whitburn Road	EH48 2SS	 55.897603946453664
Edinburgh	Slateford Medical Practice	-3.237155951793699	0131 442 8700	27 Gorgie Park Close	EH14 1NQ	 55.93420726319244
South Queensferry	South Queensferry Medical Practice	-3.3975806578763397	0131-537 4407	41 The Loan	EH30 9HA	 55.989935414844986
Edinburgh	Southern Medical Group	-3.150342587470308	0131 664 2148	322 Gilmerton Road	EH17 7PR	 55.91659909438839
Edinburgh	Southern Medical Group	-3.1752406216993134	0131 667 1628	10 Minto Street	EH9 1RG	 55.936646708228565
Edinburgh	Southfield Medical Practice	-3.1155023821249763	0131 549 7340	132 Mountcastle Drive South	EH15 3LL	 55.940437191531615
Edinburgh	Southside Surgery	-3.1787925776718535	0131 667 2240	17 Bernard Terrace	EH8 9NU	 55.94131273897137
Edinburgh	Springwell Medical Group	-3.225287602031272	0844 477 8712	39 Ardmillan Terrace	EH11 2JL	 55.93810024864754
Edinburgh	St Leonards Medical Centre	-3.180014199588577	0131 668 4547	145 Pleasance	EH8 9RU	 55.944626066228565
Edinburgh	St Triduanas Medical Practice	-3.131594093502813	0131 657 3341	54 Moira Park	EH7 6RU	 55.95634929050219
Bonnyrigg	Strathesk Medical Group	-3.1063399971220136	0131 537 9977	109-111 High Street	EH19 2ET	 55.87850393827687
Edinburgh	Summerside Medical Practice	-3.186068756168297	0131 554 3533	29B Summerside Place	EH6 4NY	 55.9750502326093
Edinburgh	The Baronscourt Medical Partnership	-3.139376242527466	0131 657 5444	89 Northfield Broadway	EH8 7RX	 55.9546150902341
Livingston	The Craigshill Partnership	-3.493082678832764	01506 432621	Craigshill Road	EH54 5DY	 55.897759848104045
Edinburgh	The Firrhill Medical Centre	-3.2355383502409847	0131-441 3119	167 Colinton Mains Drive	EH13 9AF	 55.91104695348816
Edinburgh	The Green Practice	-3.207205234721571	0131 260 9227	1 India Place	EH3 6EH	 55.95696182968517
Edinburgh	The Group Practice - Eyre	-3.197501043002108	0131 556 8842	31 Eyre Crescent	EH3 5EU	 55.96173849445165
Longniddry	The Harbours Medical Practice	-2.8925760363443254	01875 853484	67 Forthview Road	EH32 0LG	 55.97896240465541
Cockenzie	The Harbours Medical Practice	-2.958976325635119	01875 811501	Avenue Road	EH32 0JU	 55.969171994341835
Edinburgh	The Long House Surgery	-3.2000495875388055	0131 552 4919	73 East Trinity Road	EH5 3EL	 55.97627188532914
Haddington	The Orchard Medical Practice	-2.775328375645964	01620 825497	Newton Port Surgery	EH41 3NF	 55.95696674693256
Currie	The Pentlands Medical Practice	-3.313451687068133	0131 449 2142	44 Pentland View	EH14 5QB	 55.89567310587444
Bonnyrigg	The Practice, Bonnyrigg	-3.1063399971220136	0131 537 9828	109-111 High Street	EH19 2ET	 55.87850393827687
Bo`ness	The Richmond Practice	-3.6123088540434747	01506 822665	The Health Centre	EH51 0DQ	 56.01210954603311
Musselburgh	The Riverside Practice	-3.054297843108395	0131 665 2267	Ladywell Way	EH21 6AB	 55.943716951567716
Broxburn	The Wood Medical Practice	-3.482571856175669	01506 771800	189a West Main Street	EH52 5LH	 55.9329271361198
Tranent	Tranent Medical Practice	-2.9501035287310184	01875610697	Loch Road	EH33 2JX	 55.942533493997054
Edinburgh	University Health Service	-3.1865484542699423	0131 650 2777	6 Bristo Square	EH8 9AL	 55.94621684127642
West Calder	West Calder Medical Practice	-3.5765721002772946	01506 874300	65 West End	EH55 8EJ	 55.849868844984655
Edinburgh	West End Medical Practice	-3.214716098534258	0131 225 5220	21 Chester Street	EH3 7RF	 55.950246951240686
Musselburgh	West Esk Medical Group	-3.054297843108395	0131 665 2594	Ladywell Way	EH21 6AJ	 55.943716951567716
West Linton	West Linton Medical Practice	-3.352243698487344	01968 660808	West Linton Health Centre	EH46 7EX	 55.753205782067155
Edinburgh	Wester Hailes Health Centre	-3.2811486925232263	0131 537 7300	7 Murrayburn Gate	EH14 2SS	 55.91571234522079
Edinburgh	Wester Hailes Health Centre	-3.284778984947448	0131 537 7070	Calder Road	EH11 4AU	 55.92387040597118
Edinburgh	Whinpark Medical Practice	-3.269754696195571	0131 455 7999	6 Saughton Road	EH11 3RA	 55.927935401039754
Whitburn	Whitburn Group Medical Practice	-3.6865146717748654	01501 740297	1 Weavers Lane	EH47 0SD	 55.86673623789836
Winchburgh	Winchburgh Medical Practice	-3.4596118920245775	01506 890210	Niddry Road	EH52 6RX	 55.958840988121864
